,place_id,name,formatted_address,rating,user_ratings_total,types,geometry
0,ChIJXW-b0yG5woAR2yC4DVJsPE0,Autism Speaks,"6330 S San Vicente Blvd #401, Los Angeles, CA 90048, USA",1.6,39,"['point_of_interest', 'establishment']","{'lat': 34.0608797, 'lng': -118.3683401}"
0,ChIJcdIZ5jWYwoARG-ragN_Xukk,Autism Behavior Intervention,"17203 Ventura Blvd #3, Encino, CA 91316, USA",3,2,"['health', 'point_of_interest', 'establishment']","{'lat': 34.1610636, 'lng': -118.5079458}"
0,ChIJs9BBRVu7woARgkGWz0-oJXM,Brain Treatment Center,"12301 Wilshire Blvd Suite 200, Los Angeles, CA 90025, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 34.0427785, 'lng': -118.4696973}"
0,ChIJa6JAh6nTD4gRdySA86jWxgY,Advocate Illinois Masonic Pediatric Developmental Center,"3040 N Wilton Ave, Chicago, IL 60657, USA",3.3,10,"['health', 'point_of_interest', 'establishment']","{'lat': 41.9375267, 'lng': -87.6530533}"
0,ChIJ_UV-aCctDogR6UekVDfn-kE,"Autism Assessment, Research, Treatment & Services (AARTS) Center","1645 W Jackson Blvd #603, Chicago, IL 60612, USA",0,0,"['doctor', 'health', 'point_of_interest', 'establishment']","{'lat': 41.8772573, 'lng': -87.6687171}"
0,ChIJ1WvuJoDSD4gRSF3Umn_WoLc,Caravel Autism Health,"2923 N California Ave Suite #230, Chicago, IL 60618, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.93465440000001, 'lng': -87.6973464}"
0,ChIJWUkW-oUsDogRqSGoWp9gW3k,ABA Therapy And Behavior Management Services,"1530 S State St, Chicago, IL 60605, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.8610471, 'lng': -87.628152}"
0,ChIJ924tgc4sDogRsmctcFFtFNQ,Autism Spectrum Therapies,"670 W Hubbard St Suite 200, Chicago, IL 60654, USA",1,3,"['health', 'point_of_interest', 'establishment']","{'lat': 41.8903294, 'lng': -87.6455912}"
0,ChIJ41tTEBjID4gRoKTdcLXl_wI,Advocate Children's Autism Treatment Program,"1675 Dempster Street, Park Ridge, IL 60068, USA",5,1,"['hospital', 'point_of_interest', 'establishment']","{'lat': 42.0389977, 'lng': -87.8459168}"
0,ChIJvR2TvULOD4gRFPcYLmvzDBg,Trumpet Behavioral Health,"3851 W Devon Ave, Chicago, IL 60659, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.9970007, 'lng': -87.7259567}"
0,ChIJf6HrrJHOD4gRuhqN1Nn5KAU,"BGF Performance Systems, LLC.","6430 N Central Ave, Chicago, IL 60646, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.998276, 'lng': -87.763687}"
0,ChIJgz5iaqMyDogRTXYyuDQAQng,The Resource Center for Autism and Developmental Delays,"4314 S Cottage Grove Ave, Chicago, IL 60653, USA",5,2,"['point_of_interest', 'establishment']","{'lat': 41.8163431, 'lng': -87.60727740000002}"
0,ChIJC1nQdN7SD4gRjtr4rWSL_Cw,Chicago ABA Therapy,"1422 W Willow St #102, Chicago, IL 60642, USA",5,124,"['health', 'point_of_interest', 'establishment']","{'lat': 41.914514, 'lng': -87.66286099999999}"
0,ChIJVeDBxRotDogRkCzeSdRNeJk,Developmental Disabilities Family Clinic,"1640 Roosevelt Rd, Chicago, IL 60608, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.867562, 'lng': -87.667881}"
0,ChIJJUWdELssDogREuJrIThwFQM,Build N Care Therapy,"70 W Madison St #1400, Chicago, IL 60602, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.882251, 'lng': -87.63016499999999}"
0,ChIJ9TOmYSXTD4gRoheRYVNdPhE,Chicago Childrens Clinic,"1731 N Marcey St, Chicago, IL 60614, USA",0,0,"['hospital', 'health', 'point_of_interest', 'establishment']","{'lat': 41.9140408, 'lng': -87.6548785}"
0,ChIJH2eJr8_ID4gRJ5y9X1RGNDI,BY YOUR SIDE - Autism Therapy Services,"8145 River Dr Suite 101, Morton Grove, IL 60053, USA",5,3,"['health', 'point_of_interest', 'establishment']","{'lat': 42.029133, 'lng': -87.784313}"
0,ChIJJSGmYSXTD4gRRUI9s6qZBtg,Chicago Children's Clinic,"1333 N Kingsbury St, Chicago, IL 60642, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.9059837, 'lng': -87.6495578}"
0,ChIJEzqqNQjLD4gRMReaeNCnxNs,The Place for Children with Autism,"6202 W Montrose Ave, Chicago, IL 60634, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.9605121, 'lng': -87.782099}"
0,ChIJaxS1TtMtDogRmaauM_nMZwQ,The Place for Children with Autism,"1718 S Loomis St, Chicago, IL 60608, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.8583879, 'lng': -87.6614772}"
0,ChIJgz5iaqMyDogROJWuuKsOU-k,The Resource Center for Autism and Developmental Delays,"10 S Kedzie Ave, Chicago, IL 60612, USA",4.9,9,"['point_of_interest', 'establishment']","{'lat': 41.88050519999999, 'lng': -87.7066005}"
0,ChIJjamwKL7RD4gRRbNwJ0Xw1ZY,The Place for Children with Autism,"2701 W Peterson Ave, Chicago, IL 60659, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.990147, 'lng': -87.69717600000001}"
0,ChIJe9A-9G07DogR09Eod_JG9Ro,The Place for Children with Autism,"10901 S Trumbull Ave, Chicago, IL 60655, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 41.6947509, 'lng': -87.706772}"
0,ChIJtTFdN2vDQIYRS6O0YcKjY88,Steps to Progress LLC,"3500 S Gessner Rd #300, Houston, TX 77063, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 29.725703, 'lng': -95.539923}"
0,ChIJ8U1RchvBQIYRhnO0GjbNtbo,ABA Therapy For Life,"3000 Weslayan St #105, Houston, TX 77027, USA",4.6,21,"['health', 'point_of_interest', 'establishment']","{'lat': 29.7376243, 'lng': -95.4423204}"
0,ChIJSW0EVozSQIYRrqtZbuDaJP4,Spectrum of Hope - Business Office,"11820 Cypress Corner Ln B, Houston, TX 77065, USA",4.4,17,"['health', 'point_of_interest', 'establishment']","{'lat': 29.944883, 'lng': -95.628332}"
0,ChIJt44eRkHbQIYR4tU8GV8dTaI,The Shape of Behavior,"10353 Centrepark Dr, Houston, TX 77043, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 29.829027, 'lng': -95.55145399999999}"
0,ChIJX12xbQGdQIYRv_6GAQkqW1M,Autism Pediatric Therapy & Learning Center,"1325 Space Park Drive B & C, Houston, TX 77058, United States",5,1,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 29.54728, 'lng': -95.09861219999999}"
0,ChIJ_55PzPPAQIYRfuO0SuNGRKA,Texas Young Autism Project,"3730 Kirby Dr #540, Houston, TX 77098, USA",3,2,"['health', 'point_of_interest', 'establishment']","{'lat': 29.7329696, 'lng': -95.4194012}"
0,ChIJNyZllRDAQIYRpEYPZ8L4Nxw,Texas Children's Autism Center,"8080 N Stadium Dr, Houston, TX 77054, USA",4.6,11,"['doctor', 'health', 'point_of_interest', 'establishment']","{'lat': 29.6917446, 'lng': -95.40810859999999}"
0,ChIJlWeOUi3bQIYRq3hQXuwNwdw,Endeavor Behavioral Institute,"10696 Haddington Dr #112, Houston, TX 77043, USA",5,4,"['health', 'point_of_interest', 'establishment']","{'lat': 29.80014659999999, 'lng': -95.561859}"
0,ChIJCy-nY-3FQIYRVqDWwh6XG6k,Tangible Difference Learning Center,"7000 Northwest Dr B100, Houston, TX 77092, USA",4.5,6,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 29.8479811, 'lng': -95.4954989}"
0,ChIJxb50RSrNQIYRqQtE1M7LXJs,The Shape of Behavior,"17810 Spring Creek Forest Dr, Spring, TX 77379, USA",3.7,3,"['health', 'point_of_interest', 'establishment']","{'lat': 30.0391434, 'lng': -95.5219257}"
0,ChIJWw73NWUnQYYRS14T367_w3Q,The Shape of Behavior,"20718 Park Row, Katy, TX 77449, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 29.7913743, 'lng': -95.7391689}"
0,ChIJY6CVUdLQQIYRZgTmPxLSIBM,Trumpet Behavioral Health,"15703 Longenbaugh Dr h, Houston, TX 77095, USA",2.5,2,"['health', 'point_of_interest', 'establishment']","{'lat': 29.8907948, 'lng': -95.64260159999999}"
0,ChIJg1cHZTnoQIYRLP9In0pHvUM,Tangible Difference Learning Center,"8895 W Bellfort Ave, Houston, TX 77031, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 29.655772, 'lng': -95.533677}"
0,ChIJsW_wOpDBQIYRk1rdkxkY1-I,The Shape of Behavior,"4040, 4922 Locust St, Bellaire, TX 77401, United States",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 29.709065, 'lng': -95.466511}"
0,ChIJU4BD6JPDQIYRIJlXHnGT11U,Homeopathy Center of Houston,"7670 Woodway Dr #340, Houston, TX 77063, USA",4.1,8,"['health', 'point_of_interest', 'establishment']","{'lat': 29.752323, 'lng': -95.503761}"
0,ChIJWUsjCVzEQIYRiALF43ciijU,Houston ABA,"1416 Campbell Rd #101, Houston, TX 77055, USA",0,0,"['point_of_interest', 'school', 'establishment']","{'lat': 29.7954449, 'lng': -95.51363239999999}"
0,ChIJN4Q6wnrNQIYRmZqs92BAWQI,Action Behavior Centers,"6520, 9316 Louetta Rd, Spring, TX 77379, United States",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 30.006176, 'lng': -95.5529483}"
0,ChIJnf8xk7PYQIYRrTpDR-9uFw8,Tangible Difference Learning Center,"1635 S Fry Rd, Katy, TX 77450, USA",4,4,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 29.7625726, 'lng': -95.7151561}"
0,ChIJBd6r0rDBQIYRYXBfQ2cLIkM,Connection Center,"4130 Bellaire Blvd # 210, Houston, TX 77025, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 29.7061516, 'lng': -95.4443503}"
0,ChIJ50z9mZbBQIYRikyi9-o0Q6g,Applied Behavior Therapy For Life PC,"3000 Weslayan St #275, Houston, TX 77027, USA",0,0,"['school', 'point_of_interest', 'establishment']","{'lat': 29.737519, 'lng': -95.44214459999999}"
0,ChIJ_91jkXvHxokRcdC1peQCCvs,The Center for Autism,"3905 W Ford Rd #6, Philadelphia, PA 19131, USA",4.2,14,"['health', 'point_of_interest', 'establishment']","{'lat': 40.0000705, 'lng': -75.2077027}"
0,ChIJy6J2IZ6zxokRw3iyRyitzmc,The Center For Autism,"2801 Grant Ave, Philadelphia, PA 19114, USA",3.7,15,"['health', 'point_of_interest', 'establishment']","{'lat': 40.075948, 'lng': -75.01715850000001}"
0,ChIJAfXTF1HGxokRw8jiN2lyg2E,The Center for Autism Research,"2716 South St, Philadelphia, PA 19104, USA",5,5,"['point_of_interest', 'establishment']","{'lat': 39.9455838, 'lng': -75.1863219}"
0,ChIJkWcrXSTGxokRG3T4QZcJsrI,Philadelphia Mental Health Center,"1235 Pine St, Philadelphia, PA 19107, USA",1.7,6,"['doctor', 'health', 'point_of_interest', 'establishment']","{'lat': 39.9453613, 'lng': -75.1625717}"
0,ChIJi5j381O2xokRxj5UZGfDoSU,Drexel Autism Center,"4641 E Roosevelt Blvd, Philadelphia, PA 19124, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.0264575, 'lng': -75.1021627}"
0,ChIJ6xFynHHExokRd7OEft9X58k,Child Guidance Resource Center,"2901 Island Ave, Philadelphia, PA 19153, USA",5,4,"['health', 'point_of_interest', 'establishment']","{'lat': 39.902805, 'lng': -75.23901390000002}"
0,ChIJFU9e5gtxK4cRZiI0gWwzKls,Center for Autism Research and Education,"4045 E Union Hills Dr #116, Phoenix, AZ 85050, USA",3.5,4,"['health', 'point_of_interest', 'establishment']","{'lat': 33.6548767, 'lng': -111.9949249}"
0,ChIJFU9e5gtxK4cR6Pc_m0xoN1Q,Hyperbaric Oxygen Therapy Phoenix Arizona C.A.R.E.,"4045 E Union Hills Dr, Phoenix, AZ 85050, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 33.6550406, 'lng': -111.9951611}"
0,ChIJ20Uieb4OK4cRjQ_lWGhLrh0,Arizona Autism United (AZA United),"5025 E Washington St #212, Phoenix, AZ 85034, USA",3.7,15,"['point_of_interest', 'establishment']","{'lat': 33.446283, 'lng': -111.973395}"
0,ChIJ4bVzwAlxK4cRBByj_Vc5yV0,Pinnacle Autism Therapy,"20860 N Tatum Blvd #300, Phoenix, AZ 85050, USA",5,1,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 33.674306, 'lng': -111.978214}"
0,ChIJX82NNz1sK4cRsYA6IPThNN8,Autism Care & Treatment Today,"22525 E Az Biltomre C Al, Phoenix, AZ 85008, USA",0,0,"['point_of_interest', 'establishment']","{'lat': 33.5947809, 'lng': -112.1175719}"
0,ChIJVVfvWf4NK4cRno34BASQQjs,Southwest Autism Research & Resource Center,"300 N 18th St, Phoenix, AZ 85006, USA",4.6,13,"['point_of_interest', 'establishment']","{'lat': 33.4517994, 'lng': -112.0438644}"
0,ChIJGXr0wRVsK4cRil-ThL5EoJw,Southwest Autism Center of Excellence,"11221 N 28th Dr, Phoenix, AZ 85029, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 33.58848270000001, 'lng': -112.120745}"
0,ChIJTxcilzMEK4cRI-2Lq43A2Y4,Center For Autism & Related Disorders,"1729 W Greentree Dr #103, Tempe, AZ 85284, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 33.3318464, 'lng': -111.9689281}"
0,ChIJrddNKTF0K4cRvdO_d4uGsGM,Center For Autism & Related Disorders,"15721 N Greenway Hayden Loop #103, Scottsdale, AZ 85260, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 33.628581, 'lng': -111.9131471}"
0,ChIJYa9ifXUSK4cR5xxe9f6Jpmg,Southwest Autism Research And Resource Center SAARC,"2225 N 16th St, Phoenix, AZ 85006, USA",5,3,"['health', 'point_of_interest', 'establishment']","{'lat': 33.4722406, 'lng': -112.0472194}"
0,ChIJUYBcJ4zB4xQRXqcpI7FVEt0,Center For Autism And Related Disorders,"2400 W Dunlap Ave Suite 100, Phoenix, AZ 85021, USA",4,4,"['point_of_interest', 'establishment']","{'lat': 33.56844640000001, 'lng': -112.1112575}"
0,ChIJ5Q7Obk4B3IARt915Bb7wnbY,UC San Diego Autism Center of Excellence,"8110 La Jolla Shores Dr #201, La Jolla, CA 92037, USA",5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","{'lat': 32.853999, 'lng': -117.254114}"
0,ChIJx0-ZFZD_24ARrIZUeNX2SWQ,The Center for Autism & Related Disorders,"7297 Ronson Rd Suite H, San Diego, CA 92111, USA",4.3,4,"['health', 'point_of_interest', 'establishment']","{'lat': 32.8285442, 'lng': -117.1605448}"
0,ChIJg1PN1qLw24ARa7be9cswZXg,Center For Autism & Related Disorders,"15708 Pomerado Rd #102n, Poway, CA 92064, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 32.999252, 'lng': -117.058446}"
0,ChIJfZqQTTH-24ARL0YdFsLsGE0,Autism Spectrum Therapies,"4719 Viewridge Ave Suite 100, San Diego, CA 92123, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 32.8234212, 'lng': -117.119796}"
0,ChIJT8CpW9Hw24AROEQt5IzLs-E,autism resource & treatment center,"11956 Bernardo Plaza Dr, San Diego, CA 92128, USA",0,0,"['point_of_interest', 'establishment']","{'lat': 33.021535, 'lng': -117.0729776}"
0,ChIJXeXw7iv524ARVvJh6oN18b0,Coast Music Therapy Inc,"5095 Murphy Canyon Rd #125, San Diego, CA 92123, USA",0,0,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'school', 'establishment']","{'lat': 32.831034, 'lng': -117.120058}"
0,ChIJWQHDJcVU2YARs_vGwHYe7ys,AUTISM ACES,"3731 Sixth Ave #100, San Diego, CA 92103, USA",3.7,3,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 32.7457801, 'lng': -117.1592513}"
0,ChIJ9_9sQPmq3oARa1Qrli_NSn8,The Family Guidance & Therapy Center of Southern California,"3555 Kenyon St Suite101, San Diego, CA 92110, USA",5,7,"['health', 'point_of_interest', 'establishment']","{'lat': 32.7498311, 'lng': -117.2161325}"
0,ChIJbZQ5GiFX2YARTg8iXg3Fn6k,Comprehensive Autism Center,"3914 Murphy Canyon Rd Suite A120, San Diego, CA 92123, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 32.815617, 'lng': -117.117452}"
0,ChIJV3hq4gdV2YARKBqwO2y0bnI,People's Care Behavioral Health Services,"8996 Miramar Rd, San Diego, CA 92126, USA",4,1,"['health', 'point_of_interest', 'establishment']","{'lat': 32.8941535, 'lng': -117.1315766}"
0,ChIJU-rVQjb-24ARI1AclMUSJMI,Autism Society San Diego,"4699 Murphy Canyon Rd, San Diego, CA 92123, USA",5,2,"['health', 'point_of_interest', 'establishment']","{'lat': 32.8270787, 'lng': -117.1190543}"
0,ChIJNTqXRCweTIYRxPLSbZ3JUk0,Autism Treatment Center,"10503 Metric Dr, Dallas, TX 75243, USA",4.6,17,"['point_of_interest', 'establishment']","{'lat': 32.906833, 'lng': -96.703147}"
0,ChIJ3Wv9ByweTIYR31ZStUWF_h0,Autistic Treatment Center,"10610 Metric Dr # 101, Dallas, TX 75243, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 32.904515, 'lng': -96.70223899999999}"
0,ChIJbbKxpk-MXIYRX8xc8-sSNDM,Autism Treatment Center,"15911 Nacogdoches Rd, San Antonio, TX 78247, USA",4.8,4,"['point_of_interest', 'establishment']","{'lat': 29.5854556, 'lng': -98.3636559}"
0,ChIJIdz03U6MXIYRSft8C-fg4_c,Autism Treatment Center,"16111 Nacogdoches Rd, San Antonio, TX 78247, USA",1.3,4,"['school', 'point_of_interest', 'establishment']","{'lat': 29.587604, 'lng': -98.36045}"
0,ChIJkxq6q0D1XIYRDl0Ki8YIhiI,Autistic Treatment Center,"1611 Nacogdoches Rd, San Antonio, TX 78209, USA",0,0,"['point_of_interest', 'establishment']","{'lat': 29.501713, 'lng': -98.46252129999999}"
0,ChIJGXjVtkhgXIYRsWYF19_bCAs,Center for Autism & Related Disorders,"11306 Sir Winston St Building F, San Antonio, TX 78216, USA",5,2,"['health', 'point_of_interest', 'establishment']","{'lat': 29.55174989999999, 'lng': -98.51117819999999}"
0,ChIJ3R884hdhXIYReIy3AaOY_IM,The Shape of Behavior,"903 Proton Rd, San Antonio, TX 78258, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 29.6125878, 'lng': -98.4799165}"
0,ChIJv65tr0r1XIYRaXVBH5G5lrY,"Behavioral Support Center, LLC","8546 Broadway #200, San Antonio, TX 78217, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 29.5185799, 'lng': -98.4627611}"
0,ChIJE7uWsXVeXIYR2bMYXwKE1zc,Autism Community Network,"4242 Woodcock Dr #101, San Antonio, TX 78228, USA",4,7,"['health', 'point_of_interest', 'establishment']","{'lat': 29.4855451, 'lng': -98.56972859999999}"
0,ChIJo4LOErfSJIgRiB6sgTuL-q0,The Children's Center,"79 W Alexandrine St, Detroit, MI 48201, USA",4.4,40,"['point_of_interest', 'establishment']","{'lat': 42.3498169, 'lng': -83.0611948}"
0,ChIJo4LOErfSJIgRoVwwJXgVf3Y,Dr. Rajendra P. Kanneganti,"79 W Alexandrine St, Detroit, MI 48201, USA",0,0,"['doctor', 'health', 'point_of_interest', 'establishment']","{'lat': 42.3498332, 'lng': -83.0611634}"
0,ChIJJ55U7R01O4gRy3U0m8CCaT0,Centria Healthcare Autism Services,"19855 W Outer Dr suite 101 w, Dearborn, MI 48124, USA",3.7,3,"['health', 'point_of_interest', 'establishment']","{'lat': 42.3223567, 'lng': -83.2076548}"
0,ChIJGaGR-ufWJIgRnHIMbLRH1dw,Stonecrest Behavioral Health Hospital,"15000 Gratiot Ave, Detroit, MI 48205, USA",2.1,66,"['hospital', 'health', 'point_of_interest', 'establishment']","{'lat': 42.4435695, 'lng': -82.971205}"
0,ChIJwSxHzuTMJIgRn1MW4okxML4,Keidan Special Education Center,"4441 Collingwood St, Detroit, MI 48204, USA",4.8,4,"['school', 'point_of_interest', 'establishment']","{'lat': 42.3739466, 'lng': -83.1282923}"
