,place_id,formatted_phone_number,website,opening_hours,name,adr_address
0,ChIJOW-6Jh9jwokRsooMmea8Xd8,(914) 833-1303,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center For Autism & Related Disorders,"<span class=""street-address"">1069 Hempstead Turnpike #1</span>, <span class=""locality"">Franklin Square</span>, <span class=""region"">NY</span> <span class=""postal-code"">11010</span>, <span class=""country-name"">USA</span>"
0,ChIJXw81fZ1YwokRBdJCurMMCCw,(212) 749-4604,https://www.manhattanchildrenscenter.org/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0830'}}], 'weekday_text': ['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 3:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Manhattan Childrens Center,"<span class=""street-address"">124 W 95th St</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10025-6604</span>, <span class=""country-name"">USA</span>"
0,ChIJzfn8IlPHwoARphjv28efnJQ,(323) 361-6102,https://www.chla.org/boone-fetter-clinic,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 4:00 PM', 'Tuesday: 8:00 AM – 4:00 PM', 'Wednesday: 8:00 AM – 4:00 PM', 'Thursday: 8:00 AM – 4:00 PM', 'Friday: 8:00 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Children's Hospital Los Angeles : Autism Services,"<span class=""street-address"">1300 N Vermont Ave</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90027</span>, <span class=""country-name"">USA</span>"
0,ChIJ2eeM_zK6woARJjcgyFqKmY8,(310) 839-9088,http://castautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center for Autism Spectrum Treatment (CAST),"<span class=""street-address"">5800 Hannum Ave Suite B</span>, <span class=""locality"">Culver City</span>, <span class=""region"">CA</span> <span class=""postal-code"">90230</span>, <span class=""country-name"">USA</span>"
0,ChIJUWsYLJO4woAR2SlcH7433f4,(323) 879-4951,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center For Autism & Related Disorders,"<span class=""street-address"">4322 Wilshire Blvd #104</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90010</span>, <span class=""country-name"">USA</span>"
0,ChIJyQRwWoK7woARa3awi3bkUgI,(310) 475-9620,http://www.factfamily.org/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0830'}}], 'weekday_text': ['Monday: 8:30 AM – 5:00 PM', 'Tuesday: 8:30 AM – 5:00 PM', 'Wednesday: 8:30 AM – 5:00 PM', 'Thursday: 8:30 AM – 5:00 PM', 'Friday: 8:30 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","FACT - Family, Adult and Child Therapies","<span class=""street-address"">1401 Westwood Blvd Suite 200</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90024</span>, <span class=""country-name"">USA</span>"
0,ChIJO2iNgACbwoARLMNdOfE43mo,(818) 960-0630,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center For Autism & Related Disorders,"<span class=""street-address"">9335 Reseda Blvd Suite 101</span>, <span class=""locality"">Northridge</span>, <span class=""region"">CA</span> <span class=""postal-code"">91324</span>, <span class=""country-name"">USA</span>"
0,ChIJMb1DqROZwoARhVypQQidN60,(818) 345-2345,http://www.centerforautism.com/,,Center for Autism & Related Disorders,"<span class=""street-address"">21600 W Oxnard St suite 1800</span>, <span class=""locality"">Woodland Hills</span>, <span class=""region"">CA</span> <span class=""postal-code"">91367</span>, <span class=""country-name"">USA</span>"
0,ChIJQYtKGgzHwoAReiuKJsHAZYc,(323) 938-3434,http://holdinghandsinc.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1730'}, 'open': {'day': 6, 'time': '0830'}}], 'weekday_text': ['Monday: 9:00 AM – 7:30 PM', 'Tuesday: 9:00 AM – 7:30 PM', 'Wednesday: 9:00 AM – 7:30 PM', 'Thursday: 9:00 AM – 7:30 PM', 'Friday: 9:00 AM – 7:30 PM', 'Saturday: 8:30 AM – 5:30 PM', 'Sunday: Closed']}",Holding Hands Pediatric Therapy & Adult Services,"<span class=""street-address"">2115 Beverly Blvd</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90057-2203</span>, <span class=""country-name"">USA</span>"
0,ChIJVfNvDj-5woARFnCG2xqcl4k,(323) 693-1600,https://htaba.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Hidden Treasures ABA Therapy Services,"<span class=""street-address"">6310 San Vicente Blvd</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90048</span>, <span class=""country-name"">USA</span>"
0,ChIJa0TXxTi5woARAU_eMlg9Qm0,(323) 866-1880,http://www.intercaretherapy.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","Intercare Therapy, Inc.","<span class=""street-address"">4221 Wilshire Blvd #300</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90010</span>, <span class=""country-name"">USA</span>"
0,ChIJPyEplWq6woARpHObW6PWhH0,(310) 313-0047 ext. 123,,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Autism Clinic Software,"<span class=""street-address"">4127 Berryman Ave</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90066-5425</span>, <span class=""country-name"">USA</span>"
0,ChIJPxkrdhK7woARvOSDKGG2Mn0,(424) 320-3134,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center For Autism & Related Disorders,"<span class=""street-address"">11835 W Olympic Blvd #140e</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90064</span>, <span class=""country-name"">USA</span>"
0,ChIJK9zqtYS7woARuu2ccQAL4l8,(310) 475-9620,http://www.factfamily.org/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00 AM – 8:00 PM', 'Tuesday: 7:00 AM – 8:00 PM', 'Wednesday: 7:00 AM – 8:00 PM', 'Thursday: 7:00 AM – 8:00 PM', 'Friday: 7:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",FACT Family,"<span class=""street-address"">10642 CA-2 #202</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90024</span>, <span class=""country-name"">USA</span>"
0,ChIJsyTiXzWawoARFee_9jmSLaQ,(800) 700-4233,http://www.drakeinstitute.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 8:00 PM', 'Tuesday: 9:00 AM – 8:00 PM', 'Wednesday: 9:00 AM – 8:00 PM', 'Thursday: 9:00 AM – 8:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: 9:00 AM – 2:00 PM', 'Sunday: Closed']}",Drake Institute of Behavioral Medicine,"<span class=""street-address"">18250 Roscoe Blvd #325</span>, <span class=""locality"">Northridge</span>, <span class=""region"">CA</span> <span class=""postal-code"">91325</span>, <span class=""country-name"">USA</span>"
0,ChIJU3B8HwC8woARubiT9gDeJvk,(323) 825-3554,http://thedubinclinic.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1300'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: 9:00 AM – 1:00 PM', 'Sunday: Closed']}",The Dubin Clinic,"<span class=""street-address"">11500 W Olympic Blvd #400</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90064</span>, <span class=""country-name"">USA</span>"
0,ChIJ6UalaZy7woARiYqul6iPR3U,(310) 857-6448,http://www.pediatricfeeding.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Feeding Clinic of Los Angeles,"<span class=""street-address"">2 Westwood Blvd 1917 1 Suite 1</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90025</span>, <span class=""country-name"">USA</span>"
0,ChIJ-8pQ-9ybwoARdXL6E80yRME,(310) 247-8712,http://www.beautifulmindscenterforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 4:00 PM', 'Tuesday: 8:00 AM – 4:00 PM', 'Wednesday: 8:00 AM – 4:00 PM', 'Thursday: 8:00 AM – 4:00 PM', 'Friday: 8:00 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Beautiful Minds Center For Autism,"<span class=""street-address"">19725 Sherman Way #380</span>, <span class=""locality"">Winnetka</span>, <span class=""region"">CA</span> <span class=""postal-code"">91306</span>, <span class=""country-name"">USA</span>"
0,ChIJ1-ixGq67woARfxYXCg-M44Y,(310) 444-0111,http://www.centerforthedevelopingmind.com/,,Center For the Developing Mind,"3996, <span class=""street-address"">2990 S Sepulveda Blvd # 308</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90064</span>, <span class=""country-name"">USA</span>"
0,ChIJXW-b0yG5woAR2yC4DVJsPE0,(323) 549-0500,https://www.autismspeaks.org/,,Autism Speaks,"<span class=""street-address"">6330 S San Vicente Blvd #401</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90048</span>, <span class=""country-name"">USA</span>"
